TRANSACTIONID,FLIGHTDATE,AIRLINECODE,AIRLINENAME,TAILNUM,FLIGHTNUM,ORIGINAIRPORTCODE,ORIGAIRPORTNAME,ORIGINCITYNAME,ORIGINSTATE,ORIGINSTATENAME,DESTAIRPORTCODE,DESTAIRPORTNAME,DESTCITYNAME,DESTSTATE,DESTSTATENAME,CRSDEPTIME,DEPTIME,DEPDELAY,TAXIOUT,WHEELSOFF,WHEELSON,TAXIIN,CRSARRTIME,ARRTIME,ARRDELAY,CRSELAPSEDTIME,ACTUALELAPSEDTIME,DISTANCE,DISTANCEGROUP,DEPDELAYGT15,NEXTDAYARR
55878700,2002-01-03,CO,Continental Air Lines Inc.,N58606,234,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,IAH, George Bush Intercontinental/Houston,Houston,TX,Texas,1455,1453,-2,11,1504,1742,5,1750,1747,-3,115,114,744 miles,701-800 miles,0,0
55117600,2002-01-04,DL,Delta Air Lines Inc.,N37574,262,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DFW, Dallas/Fort Worth International,Dallas/Fort Worth,TX,Texas,1530,1817,167,11,1828,2043,12,1807,2055,168,97,98,569 miles,501-600 miles,1,0
55232700,2002-01-05,DL,Delta Air Lines Inc.,N517D1,1214,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,CVG, Cincinnati/Northern Kentucky International,Cincinnati,KY,Kentucky,1335,1520,105,6,1526,1957,6,1812,2003,111,157,163,1240 miles,1201-1300 miles,1,0
55964000,2002-01-08,CO,Continental Air Lines Inc.,N17326,1769,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,IAH, George Bush Intercontinental/Houston,Houston,TX,Texas,0700,0654,-6,13,0707,0953,6,1001,0959,-2,121,125,744 miles,701-800 miles,0,0
55404900,2002-01-08,HP,America West Airlines Inc.: HP (Merged with US Airways 9/05.Stopped reporting 10/,N316A,763,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,0628,0625,-3,10,0635,0730,4,0753,0734,-19,85,69,328 miles,301-400 miles,0,0
55755400,2002-01-10,AA,American Airlines Inc.,N4HA1,2654,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,STL, Lambert-St. Louis International,St. Louis,MO,Missouri,1416,1412,-4,31,1443,1739,13,1732,1752,20,136,160,934 miles,901-1000 miles,0,0
55405400,2002-01-11,HP,America West Airlines Inc.: HP (Merged with US Airways 9/05.Stopped reporting 10/,N168A,767,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,1215,1211,-4,8,1219,1311,5,1342,1316,-26,87,65,328 miles,301-400 miles,0,0
54865900,2002-01-17,UA,United Air Lines Inc.,N9361,258,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DEN, Denver International,Denver,CO,Colorado,1400,1358,-2,9,1407,1457,4,1515,1501,-14,75,63,349 miles,301-400 miles,0,0
55923500,2002-01-18,CO,Continental Air Lines Inc.,N14384,1004,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,IAH, George Bush Intercontinental/Houston,Houston,TX,Texas,1630,1628,-2,18,1646,1952,6,1925,1958,33,115,150,744 miles,701-800 miles,0,0
55398400,2002-01-18,HP,America West Airlines Inc.: HP (Merged with US Airways 9/05.Stopped reporting 10/,N314A,654,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,0914,0914,0,10,0924,1033,3,1046,1036,-10,92,82,328 miles,301-400 miles,0,0
55369400,2002-01-20,HP,America West Airlines Inc.: HP (Merged with US Airways 9/05.Stopped reporting 10/,N308A,209,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,2030,2021,-9,9,2030,2130,5,2150,2135,-15,80,74,328 miles,301-400 miles,0,0
54968200,2002-01-21,UA,United Air Lines Inc.,N9491,1248,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DEN, Denver International,Denver,CO,Colorado,1630,1628,-2,6,1634,1725,6,1743,1731,-12,73,63,349 miles,301-400 miles,0,0
54742900,2002-01-22,NW,Northwest Airlines Inc.,N312,628,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,MSP, Minneapolis-St Paul International,Minneapolis,MN,Minnesota,1415,1408,-7,10,1418,1718,3,1750,1721,-29,155,133,981 miles,901-1000 miles,0,0
54951900,2002-01-23,UA,United Air Lines Inc.,N3891,1100,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DEN, Denver International,Denver,CO,Colorado,0900,0856,-4,7,0903,0952,5,1014,0957,-17,74,61,349 miles,301-400 miles,0,0
54742300,2002-01-23,NW,Northwest Airlines Inc.,N307,624,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,MSP, Minneapolis-St Paul International,Minneapolis,MN,Minnesota,0835,0830,-5,19,0849,1144,5,1206,1149,-17,151,139,981 miles,901-1000 miles,0,0
55759400,2002-01-25,AA,American Airlines Inc.,N4BA1,2682,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,STL, Lambert-St. Louis International,St. Louis,MO,Missouri,0845,1116,151,9,1125,1425,14,1201,1439,158,136,143,934 miles,901-1000 miles,1,0
54955100,2002-01-27,UA,United Air Lines Inc.,N3731,1126,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DEN, Denver International,Denver,CO,Colorado,1131,1126,-5,7,1133,1227,6,1246,1233,-13,75,67,349 miles,301-400 miles,0,0
55232800,2002-01-30,DL,Delta Air Lines Inc.,N2931,1214,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,CVG, Cincinnati/Northern Kentucky International,Cincinnati,KY,Kentucky,1335,1345,10,21,1406,1825,5,1812,1830,18,157,165,1240 miles,1201-1300 miles,0,0
54994600,2002-01-30,UA,United Air Lines Inc.,N3411,1598,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DEN, Denver International,Denver,CO,Colorado,0635,0628,-7,10,0638,0729,6,0749,0735,-14,74,67,349 miles,301-400 miles,0,0
55267200,2002-01-31,DL,Delta Air Lines Inc.,N2931,1589,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,TUS, Tucson International,Tucson,AZ,Arizona,2100,2048,-12,13,2101,2158,5,2202,2203,1,62,75,321 miles,301-400 miles,0,0
